ID,ORF_MA,ORF,GENE
579,YGR040W,YGR040W,KSS1
580,YDL106C,YDL106C,PHO2
581,YBR038W,YBR038W,CHS2
582,YMR026C,YMR026C,PEX12
583,YDL176W,YDL176W,YDL176W
584,YMR028W,YMR028W,TAP42
585,YBR141C,YBR141C,BMT2
586,YLR172C,YLR172C,DPH5
587,YEL011W,YEL011W,GLC3
588,YAL013W,YAL013W,DEP1
589,YGR266W,YGR266W,YGR266W
590,YOL044W,YOL044W,PEX15
591,YDR194C,YDR194C,MSS116
592,YLR328W,YLR328W,NMA1
593,YGL111W,YGL111W,NSA1
594,YBR057C,YBR057C,MUM2
595,YJR010W,YJR010W,MET3
596,YPR120C,YPR120C,CLB5
597,YER037W,YER037W,PHM8
598,YNL035C,YNL035C,YNL035C
599,YJR004C,YJR004C,SAG1
600,YCL018W,YCL018W,LEU2
601,YLR139C,YLR139C,SLS1
602,YCR037C,YCR037C,PHO87
603,YFR005C,YFR005C,SAD1
604,YPR018W,YPR018W,RLF2
605,YKL108W,YKL108W,SLD2
606,YDL234C,YDL234C,GYP7
607,YLR312C,YLR312C,ATG39
608,YDR072C,YDR072C,IPT1
609,YBR155W,YBR155W,CNS1
610,YIR031C,YIR031C,DAL7
611,YOR221C,YOR221C,MCT1
612,YIR007W,YIR007W,EGH1
613,YPL179W,YPL179W,PPQ1
616,YKL183W,YKL183W,LOT5
617,YPL026C,YPL026C,SKS1
618,YKL221W,YKL221W,MCH2
619,YBR130C,YBR130C,SHE3
620,YJL213W,YJL213W,YJL213W
621,YGL060W,YGL060W,YBP2
622,YLR090W,YLR090W,XDJ1
623,YPL151C,YPL151C,PRP46
624,YLR433C,YLR433C,CNA1
625,YCR015C,YCR015C,CTO1
626,YKL051W,YKL051W,SFK1
627,YGL134W,YGL134W,PCL10
628,YML019W,YML019W,OST6
629,YBR276C,YBR276C,PPS1
630,YML127W,YML127W,RSC9
631,YDR206W,YDR206W,EBS1
632,YLR318W,YLR318W,EST2
633,YNR006W,YNR006W,VPS27
634,YBR198C,YBR198C,TAF5
635,YKR072C,YKR072C,SIS2
636,YOR324C,YOR324C,FRT1
637,YGL146C,YGL146C,RRT6
639,YOR019W,YOR019W,YOR019W
640,YCR053W,YCR053W,THR4
641,YLR060W,YLR060W,FRS1
642,YPL174C,YPL174C,NIP100
643,YGR007W,YGR007W,ECT1
644,YBL058W,YBL058W,SHP1
645,YOR141C,YOR141C,ARP8
646,YDL210W,YDL210W,UGA4
647,YLR447C,YLR447C,VMA6
648,YPL207W,YPL207W,TYW1
650,YCR077C,YCR077C,PAT1
651,YPL070W,YPL070W,MUK1
652,YDR234W,YDR234W,LYS4
653,YMR019W,YMR019W,STB4
654,YPR105C,YPR105C,COG4
655,YHR031C,YHR031C,RRM3
656,YDR036C,YDR036C,EHD3
657,YMR318C,YMR318C,ADH6
658,YPL168W,YPL168W,MRX4
659,YDL052C,YDL052C,SLC1
660,YGL044C,YGL044C,RNA15
661,YPR192W,YPR192W,AQY1
662,YOL056W,YOL056W,GPM3
663,YNL071W,YNL071W,LAT1
664,YLR257W,YLR257W,YLR257W
666,YMR055C,YMR055C,BUB2
667,YNL063W,YNL063W,MTQ1
668,YGR104C,YGR104C,SRB5
669,YNL166C,YNL166C,BNI5
670,YOL094C,YOL094C,RFC4
671,YGL081W,YGL081W,YGL081W
672,YCL016C,YCL016C,DCC1
673,YDR151C,YDR151C,CTH1
674,YNR034W,YNR034W,SOL1
675,YOL059W,YOL059W,GPD2
676,YHR195W,YHR195W,NVJ1
677,YBR002C,YBR002C,RER2
678,YLR146C,YLR146C,SPE4
679,YML125C,YML125C,PGA3
680,YGL136C,YGL136C,MRM2
681,YPL163C,YPL163C,SVS1
682,YJL035C,YJL035C,TAD2
683,YLR298C,YLR298C,YHC1
684,YGR280C,YGR280C,PXR1
685,YAL049C,YAL049C,AIM2
686,YGL046W,YGL045W,YGL046W
687,YML014W,YML014W,TRM9
688,YDR162C,YDR162C,NBP2
689,YDL043C,YDL043C,PRP11
690,YGL174W,YGL174W,BUD13
691,YJR024C,YJR024C,MDE1
692,YMR193W,YMR193W,MRPL24
693,YEL018W,YEL018W,EAF5
694,YLR046C,YLR046C,YLR046C
695,YJR116W,YJR116W,TDA4
696,YOL009C,YOL009C,MDM12
697,YPR167C,YPR167C,MET16
698,YER031C,YER031C,YPT31
699,YKR006C,YKR006C,MRPL13
700,YBR187W,YBR187W,GDT1
701,YGL154C,YGL154C,LYS5
703,YLR093C,YLR093C,NYV1
704,YPL199C,YPL199C,YPL199C
705,YER063W,YER063W,THO1
706,YLR407W,YLR407W,YLR407W
707,YBL102W,YBL102W,SFT2
708,YNL310C,YNL310C,ZIM17
709,YJL001W,YJL001W,PRE3
710,YDR078C,YDR078C,SHU2
711,YJL148W,YJL148W,RPA34
712,YCR051W,YCR051W,YCR051W
713,YHR057C,YHR057C,CPR2
714,YOR016C,YOR016C,ERP4
715,YOR236W,YOR236W,DFR1
716,YFL005W,YFL005W,SEC4
717,YJL037W,YJL037W,IRC18
718,YGR129W,YGR129W,SYF2
719,YLR356W,YLR356W,ATG33
721,YER079W,YER079W,YER079W
722,YOR131C,YOR131C,YOR131C
723,YLR011W,YLR011W,LOT6
724,YLR293C,YLR293C,GSP1
725,YPR165W,YPR165W,RHO1
726,YFR008W,YFR008W,FAR7
727,YKL144C,YKL144C,RPC25
728,YOL008W,YOL008W,COQ10
729,YML078W,YML078W,CPR3
730,YPL144W,YPL144W,POC4
731,YDL219W,YDL219W,DTD1
732,YCR099C,YCR099C,YCR099C
733,YCR046C,YCR046C,IMG1
734,YCL001W-A,YCL001W-A,YCL001W-A
735,YAL033W,YAL033W,POP5
736,YKL016C,YKL016C,ATP7
737,YGR174C,YGR174C,CBP4
738,YDR163W,YDR163W,CWC15
739,YER085C,YER085C,YER085C
740,YDR064W,YDR064W,RPS13
741,YJL122W,YJL122W,ALB1
742,YBR047W,YBR047W,FMP23
743,YLR074C,YLR074C,BUD20
744,YEL035C,YEL035C,UTR5
745,YGR030C,YGR030C,POP6
746,YLR010C,YLR010C,TEN1
747,YKL122C,YKL122C,SRP21
748,YDR540C,YDR540C,IRC4
749,YBR022W,YBR022W,POA1
750,YCL033C,YCL033C,MXR2
751,YGR243W,YGR243W,MPC3
752,YLR042C,YLR042C,YLR042C
753,YOL160W,YOL160W,YOL160W
754,YDL039C,YDL039C,PRM7
755,YCR060W,YCR060W,TAH1
756,YFL019C,YFL019C,YFL019C
757,YIL054W,YIL054W,YIL054W
758,YLR204W,YLR204W,QRI5
759,YMR193C-A,YMR193C-A,YMR193C-A
760,YOL005C,YOL005C,RPB11
761,YGR164W,YGR164W,YGR164W
762,YJL173C,YJL173C,RFA3
763,YDR031W,YDR031W,MIX14
764,YMR141C,YMR141C,YMR141C
765,YLR275W,YLR275W,SMD2
766,YDR378C,YDR378C,LSM6
767,YJR108W,YJR108W,ABM1
768,YBR209W,YBR209W,YBR209W
769,YMR103C,YMR103C,YMR103C
770,YPL080C,YPL080C,YPL080C
771,YOL026C,YOL026C,MIM1
772,YGR069W,YGR069W,YGR069W
773,YMR122C,YMR122C,YMR122C
774,YDR357C,YDR357C,CNL1
775,YNL111C,YNL111C,CYB5
776,YGR215W,YGR215W,RSM27
777,YDL159W,YDL159W,STE7
778,YLR100W,YLR100W,ERG27
779,YPL113C,YPL113C,YPL113C
780,YMR263W,YMR263W,SAP30
781,YPL273W,YPL273W,SAM4
782,YGL153W,YGL153W,PEX14
783,YOR136W,YOR136W,IDH2
784,YJR070C,YJR070C,LIA1
785,YGR159C,YGR159C,NSR1
786,YHR022C,YHR022C,YHR022C
787,YDR534C,YDR534C,FIT1
788,YMR052W,YMR052W,FAR3
789,YBR205W,YBR205W,KTR3
790,YJL023C,YJL023C,PET130
791,YNL175C,YNL175C,NOP13
